,Data,Hora,OP2.1.1 I (A),OP2.1.2 I (A),OP2.1.3 I (A),OP2.1.4 I (A),OP2.1.5 I (A),OP2.1.6 I (A),OP2.1.7 I (A),OP2.1.8 I (A),OP2.1.9 I (A),OP2.1.10 I (A),OP2.1.11 I (A),OP2.1.12 I (A),OP2.1.13 I (A),OP2.1.14 I (A),OP2.1.15 I (A),OP2.1.16 I (A),OP2.2.1 I (A),OP2.2.2 I (A),OP2.2.3 I (A),OP2.2.4 I (A),OP2.2.5 I (A),OP2.2.6 I (A),OP2.2.7 I (A),OP2.2.8 I (A),OP2.2.9 I (A),OP2.2.10 I (A),OP2.2.11 I (A),OP2.2.12 I (A),OP2.2.13 I (A),OP2.2.14 I (A),OP2.2.15 I (A),OP2.2.16 I (A),OP2.3.1 I (A),OP2.3.2 I (A),OP2.3.3 I (A),OP2.3.4 I (A),OP2.3.5 I (A),OP2.3.6 I (A),OP2.3.7 I (A),OP2.3.8 I (A),OP2.3.9 I (A),OP2.3.10 I (A),OP2.3.11 I (A),OP2.3.12 I (A),OP2.3.13 I (A),OP2.3.14 I (A),OP2.3.15 I (A),OP2.3.16 I (A)
0,2021-01-03,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-01-03,06:15:00,0.173475,0.128125,0.19793333333333332,0.08960000000000001,0.32293333333333335,0.26043333333333335,0.2937666666666667,0.1906,0.1594,0.24534999999999998,0.26253333333333334,0.275,0.05,0.16876666666666665,0.05416666666666667,0.26875000000000004,0.25,0.295325,0.2937666666666667,0.40209999999999996,0.3375,0.3062666666666667,0.26875,0.22503333333333334,0.28125,0.2625,0.20626666666666668,0.38439999999999996,0.2604,0.35940000000000005,0.284375,0.35624999999999996,0.3416666666666666,0.28125,0.2125,0.3542,0.2750333333333333,0.2020666666666667,0.21459999999999999,0.2833333333333333,0.35315,0.3063,0.20833333333333334,0.21873333333333334,0.21875,0.4291666666666667,0.3938,0.4031
2,2021-01-03,06:30:00,0.425,0.47500000000000003,0.5063,0.1875,0.4313,0.6271,0.4375,0.5104333333333333,0.3958333333333333,0.54375,0.5541666666666667,0.35,0.4062666666666666,0.40619999999999995,0.1688,0.44535,1.0208333333333333,0.4688,1.0333333333333334,0.8333333333333334,0.7312666666666666,0.7249666666666666,0.4708666666666666,0.6646,0.9719,0.903125,0.9093499999999999,0.8542,0.7333333333333334,1.0292000000000001,0.8281000000000001,0.9156500000000001,0.8188,0.7604333333333333,0.9854333333333333,1.0500333333333334,0.9833333333333334,0.6333666666666666,1.0167,1.0375333333333334,0.887525,0.7541666666666668,0.4521,0.3719,0.4187666666666667,0.8499666666666666,0.7271000000000001,0.8844000000000001
3,2021-01-03,06:45:00,0.6354333333333333,0.5687666666666668,0.6021,0.5125500000000001,0.7958666666666666,0.7083666666666667,0.7625000000000001,0.7281,0.5833666666666667,0.6625,0.75,0.7968999999999999,0.6313000000000001,0.5406500000000001,0.46670000000000006,0.7125333333333334,1.2156500000000001,1.3375333333333332,1.2250333333333332,1.3229333333333335,1.2542000000000002,1.3812666666666669,1.3296999999999999,1.2583333333333335,1.3771000000000002,1.14065,1.3187666666666666,1.4021000000000001,1.3146333333333333,1.2708000000000002,1.2062666666666666,1.2521333333333333,1.2021333333333335,1.4188,1.2042,1.2469000000000001,1.2042,1.1646,1.3083333333333333,1.2458333333333333,1.1021,1.18125,0.6770999999999999,0.5354666666666668,0.47503333333333336,1.4771,1.2896,1.2249999999999999
4,2021-01-03,07:00:00,0.8708666666666667,1.1062500000000002,0.8874999999999998,0.8469,1.1229333333333333,1.0687666666666666,1.0063,0.8844000000000001,0.95,0.9562999999999999,1.0167,1.075,0.88125,1.0062666666666666,0.6333666666666667,1.12815,1.5729666666666666,1.49375,1.6479666666666668,1.7583666666666666,1.5844,1.67815,1.7438,1.6104333333333336,1.6312666666666666,1.575,1.6547,1.8687666666666667,1.81875,1.8021,1.6375333333333335,1.6562666666666666,1.6083333333333334,1.6041666666666667,1.5521,1.46875,1.5916666666666668,1.4917,1.5958666666666668,1.6625333333333334,1.6479333333333335,1.7938,0.9771333333333333,1.0437500000000002,1.3094000000000001,1.5,1.5833333333333333,1.6062666666666665
5,2021-01-03,07:15:00,1.17185,1.13125,1.3750499999999999,1.0042,1.4969000000000001,1.3937333333333333,1.328125,1.1375,1.1063,1.3828,1.2708666666666666,1.45315,1.245325,1.1979333333333333,0.9833666666666666,1.5375,2.0124999999999997,1.7646,2.2375000000000003,1.8792,1.8208666666666666,2.357825,1.5905999999999998,2.0187666666666666,2.1812333333333336,2.0833666666666666,2.0031,2.1896,1.9812499999999997,1.9438,1.52505,2.0812666666666666,2.1041666666666665,2.14065,1.4042000000000001,1.8833333333333335,2.158333333333333,1.8271,2.2291666666666665,2.1583666666666663,0.0,2.05315,1.3667,1.4854666666666667,1.9937666666666667,2.200025,1.9666666666666668,2.1229333333333336
6,2021-01-03,07:30:00,0.92815,1.4166999999999998,1.3219,1.0541666666666667,1.3791666666666667,0.9563,1.5781,1.50625,1.14845,1.3375333333333332,1.1313,1.5437500000000002,2.0,0.9000333333333334,1.3167000000000002,1.2021,1.5771333333333335,0.9479333333333333,1.875,1.7250000000000003,1.9594,1.1,2.2646333333333333,1.3541666666666667,1.7999999999999998,1.9146,1.1875,1.2458333333333333,1.6083333333333334,1.5896,1.5750499999999998,1.4875,1.9375,1.8833666666666666,1.6375333333333335,2.1437333333333335,1.3937666666666668,2.097933333333333,1.7542,1.6479333333333333,1.501575,1.5047249999999999,1.5020999999999998,1.5312666666666666,1.4749999999999999,1.41565,1.99375,1.6979
7,2021-01-03,07:45:00,2.1375,2.466666666666667,1.7166666666666668,2.4271333333333334,2.716666666666667,2.48435,2.6,2.4417,2.33435,2.67815,2.1333333333333333,2.2646,1.9416666666666667,2.5604333333333336,2.0,2.1417,2.931266666666667,2.908333333333333,3.1271,3.189075,3.2896,3.6000333333333336,3.2,3.3250333333333337,2.7583333333333333,2.5729333333333337,2.984375,2.8594,2.6104333333333334,3.3922,3.8063,3.3833333333333333,2.8156499999999998,2.606266666666667,3.45,2.7687666666666666,3.2021,3.1750333333333334,3.4396,3.2417,3.2208333333333337,3.1688,3.4979333333333336,2.8729333333333336,3.2094,3.4625,3.20935,3.8020666666666667
8,2021-01-03,08:00:00,3.06875,3.4562333333333335,3.2391000000000005,3.2479333333333336,3.5604,3.362525,3.4718999999999998,3.4146,3.4354333333333336,3.341666666666667,3.5687666666666664,3.4875,3.5146,3.34065,3.1266,3.4750333333333336,4.4969,4.5563,4.4531,4.806233333333334,4.51565,4.479133333333333,4.53745,4.4042,4.520833333333333,4.4624999999999995,4.7219,4.6188,4.4771,4.65315,4.464075,4.574999999999999,4.354166666666667,4.410433333333333,4.295866666666667,4.3770999999999995,4.50315,4.02505,4.19375,4.3958,4.5437666666666665,4.41875,4.266666666666667,4.4292,4.224966666666667,4.423425,4.406266666666666,4.6000000000000005
9,2021-01-03,08:15:00,3.9125,3.9375,3.8344,3.8094,4.345833333333334,4.152066666666667,4.4031,4.04375,3.9344,4.276574999999999,4.3021,4.325025,4.156233333333334,4.106233333333333,4.0312,4.2354666666666665,5.120833333333334,5.2979,5.258333333333334,5.35935,5.3906,5.2667,5.27655,5.093766666666666,5.383333333333333,5.48745,5.0405999999999995,5.5,5.091633333333333,5.1437333333333335,5.08125,5.13125,5.2104333333333335,5.2937666666666665,5.052066666666667,5.064566666666667,5.341666666666666,5.1396,5.329199999999999,5.229166666666667,5.3125,4.9375,5.314566666666667,5.093766666666666,5.1844,5.21875,5.104166666666667,5.229166666666667
