,Data,Hora,P2.1.1 P (W),P2.1.2 P (W),P2.1.3 P (W),P2.1.4 P (W),P2.1.5 P (W),P2.1.6 P (W),P2.1.7 P (W),P2.1.8 P (W),P2.1.9 P (W),P2.1.10 P (W),P2.1.11 P (W),P2.1.12 P (W),P2.1.13 P (W),P2.1.14 P (W),P2.1.15 P (W),P2.1.16 P (W),P2.2.1 P (W),P2.2.2 P (W),P2.2.3 P (W),P2.2.4 P (W),P2.2.5 P (W),P2.2.6 P (W),P2.2.7 P (W),P2.2.8 P (W),P2.2.9 P (W),P2.2.10 P (W),P2.2.11 P (W),P2.2.12 P (W),P2.2.13 P (W),P2.2.14 P (W),P2.2.15 P (W),P2.2.16 P (W),P2.3.1 P (W),P2.3.2 P (W),P2.3.3 P (W),P2.3.4 P (W),P2.3.5 P (W),P2.3.6 P (W),P2.3.7 P (W),P2.3.8 P (W),P2.3.9 P (W),P2.3.10 P (W),P2.3.11 P (W),P2.3.12 P (W),P2.3.13 P (W),P2.3.14 P (W),P2.3.15 P (W),P2.3.16 P (W)
0,2021-01-03,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-01-03,06:15:00,11.03515,8.05255,12.628099999999998,5.641166666666667,21.366933333333332,17.214833333333335,19.819266666666667,12.6707,10.363299999999999,15.84455,17.523466666666668,18.15,3.0312,10.933866666666667,3.289066666666667,18.44685,17.03905,19.468574999999998,19.5086,27.473433333333332,23.21875,20.8469,17.19145,14.824233333333334,18.9551,17.400533333333332,13.661733333333336,26.7453,14.134133333333333,24.2371,18.8002,23.8,23.02763333333333,17.29685,13.741166666666667,24.113799999999998,17.8112,13.010666666666665,13.644499999999999,18.7013,23.90585,21.14215,13.047933333333333,14.852333333333334,14.42185,29.79976666666667,26.2828,27.9422
2,2021-01-03,06:30:00,29.10936666666667,32.7526,34.7198,12.04685,27.7617,42.67476666666666,29.58595,34.995599999999996,26.907533333333333,37.97185,38.30133333333333,22.6625,27.5461,27.496100000000002,10.8,30.436524999999996,72.79946666666666,32.168,74.10206666666666,58.48910000000001,51.856766666666665,51.51456666666667,32.46013333333334,47.49346666666667,69.9352,65.028525,66.54725,61.28309999999999,43.671366666666664,74.21849999999999,59.4062,65.93515,59.599199999999996,53.5573,71.72186666666666,76.50080000000001,72.26873333333333,44.73883333333333,73.3224,74.54456666666667,63.446524999999994,53.57136666666667,32.816399999999994,25.193,31.021866666666668,59.9026,51.90366666666667,63.9227
3,2021-01-03,06:45:00,43.96326666666667,39.29816666666667,41.46146666666667,35.6035,56.0341,49.149766666666665,52.63123333333334,50.54685,40.415866666666666,45.992200000000004,52.157833333333336,55.4387,43.320125,36.6586,32.0,48.85053333333334,88.393,95.29143333333333,88.43696666666666,94.20733333333332,91.08019999999999,98.90390000000001,96.429125,90.26666666666667,99.63176666666668,81.64455000000001,95.80573333333332,101.06506666666667,79.90963333333333,92.49220000000001,86.82446666666665,90.02706666666667,87.11536666666666,103.98474999999999,88.09896666666667,91.2168,87.55546666666667,85.07473333333333,95.37813333333334,91.48126666666667,79.1016,85.44139999999999,53.229166666666664,42.578133333333334,37.11196666666667,106.3818,91.71666666666665,87.92813333333334
4,2021-01-03,07:00:00,61.72030000000001,77.89529999999999,61.9443,59.5656,80.23593333333334,74.94996666666667,72.1984,62.5625,66.965625,67.86795000000001,72.34086666666667,75.75573333333334,61.2508,70.17293333333333,44.36066666666667,79.4965,114.1453,108.4367,118.88516666666665,126.74193333333335,114.1789,121.51445,126.4219,115.34143333333334,117.86173333333333,116.7469,119.40585,134.56640000000002,109.74844999999999,130.22373333333334,118.62813333333334,118.88413333333334,116.74063333333334,115.78046666666667,113.9724,107.81485,117.23593333333334,109.10676666666666,116.78306666666667,121.08073333333333,118.6755,130.9198,76.9695,81.9234,97.92815,105.9375,114.29583333333333,116.02346666666666
5,2021-01-03,07:15:00,81.7949,80.1094,97.23984999999999,70.04246666666667,106.98085,98.61953333333334,94.9293,81.0469,78.1289,98.33262500000001,90.22503333333333,103.62735,89.17012500000001,85.1875,69.4328,110.1594,146.35676666666666,127.08283333333333,161.22033333333334,135.81406666666666,131.42083333333335,172.6789,114.39725,147.41510000000002,156.0453,151.8081,146.7672,159.87396666666666,119.11135,138.4922,110.26365,151.55573333333334,154.10209999999998,157.76055,100.58046666666667,137.50103333333334,158.95833333333334,132.83486666666667,163.0010333333333,158.7354,0.0,149.5324,103.03203333333333,114.46876666666667,143.99113333333332,159.138275,142.68229999999997,155.13699999999997
6,2021-01-03,07:30:00,65.22425,100.3974,93.30115,74.07503333333334,98.23176666666666,65.43073333333332,112.03515,107.70235,80.98027499999999,95.17316666666666,79.4379,110.19765000000001,143.75,62.57033333333334,93.51799999999999,86.81639999999999,112.19923333333334,66.45183333333334,134.3125,122.82550000000002,139.5906,76.6289,163.97866666666667,95.76253333333334,128.78176666666667,138.15156666666667,82.3828,86.80783333333333,95.11613333333332,115.13333333333333,110.876175,103.850975,141.76565,136.64896666666667,117.3078,156.98023333333333,98.6117,151.8062666666667,126.05913333333335,119.20263333333334,106.22597499999999,107.05705,104.9841,113.64663333333333,103.68906666666668,100.2684,143.6953,121.6112
7,2021-01-03,07:45:00,149.8922,176.45493333333332,121.20936666666667,174.9008,196.5044333333333,176.82420000000002,186.0583333333333,177.16953333333333,167.12385,195.2801,152.54139999999998,163.87003333333334,138.19323333333332,183.06613333333334,142.0,154.25183333333334,211.9416666666667,210.20753333333334,224.0344,228.19119999999998,237.61536666666666,257.9021,231.79375,238.89296666666667,197.7682333333333,184.5052333333333,213.8508,205.03515,154.60366666666667,244.68925000000002,269.768,241.775,203.7918,187.7388,250.24220000000003,198.8606666666667,233.36926666666668,230.7336,247.66510000000002,235.08723333333333,234.8276,231.23515,252.09193333333334,206.54896666666664,233.2551,259.2547,229.70195,277.19789999999995
8,2021-01-03,08:00:00,219.79919999999998,245.40186666666668,231.480275,230.21616666666668,251.8346333333333,238.88825000000003,244.3332,241.1513,241.03333333333333,237.11253333333332,252.49816666666666,247.41095,248.70860000000002,237.77345000000003,223.541975,246.9354,312.0426,317.71209999999996,309.29885,334.3096666666667,315.13165,314.7010333333333,317.625,304.15990000000005,314.024,317.3351333333333,326.45235,322.4041666666667,260.35313333333335,319.5711,313.8754,316.92185,311.11716666666666,313.33073333333334,307.0797,313.5776,317.60235,291.35585,303.257,313.7,319.0273666666667,313.20705,302.15000000000003,309.5953333333334,296.63826666666665,314.092375,308.30106666666666,321.07553333333334
9,2021-01-03,08:15:00,273.125,273.6562,265.74379999999996,262.00079999999997,304.68486666666666,287.6143333333334,301.77149999999995,279.0922,270.24255,294.490825,294.0455666666667,298.78105,285.51590000000004,284.5049333333333,277.6523,293.69219999999996,349.1000000000001,359.70313333333337,353.1893,360.68165,364.56835,359.1742,359.7211,345.39973333333336,364.6068,370.3555,343.19100000000003,366.92575,286.21823333333333,348.8359333333333,343.3453,344.5906,357.50336666666664,366.29013333333336,348.42446666666666,350.32136666666673,364.9375,356.0226666666667,371.49556666666666,360.96926666666667,360.90625,340.0703,360.6138,346.41979999999995,345.96485,358.09765000000004,347.23126666666667,355.7969
